photo,pipeline,frame,photo_w,photo_h,faces_detected,max_face_h_px,person_crop_w,person_crop_h,resize_scale,upscaled,clarity_hint
600px,mediapipe,ganesh_chaturthi_01,640,427,1,205,334,389,2.71,True,LOW — input too small; output will look blurry
600px,mediapipe,onam_01,640,427,1,205,334,389,1.527,True,MEDIUM — slightly soft; a larger photo is recommended
2400px,rembg,dussehra_01,2400,1602,1,580,1115,1459,0.612,False,GOOD — enough resolution for a sharp result
1920px,rembg,dussehra_01,1920,1281,1,581,1027,1167,0.765,False,GOOD — enough resolution for a sharp result
1920px,rembg,eid_01,1920,1281,1,581,1027,1167,0.743,False,GOOD — enough resolution for a sharp result
600px,rembg,ganesh_chaturthi_01,640,427,1,205,334,389,2.71,True,LOW — input too small; output will look blurry
7360px,rembg,onam_01,7360,4912,0,0,5422,4483,0.123,False,GOOD — enough resolution for a sharp result
1920px,mediapipe,eid_01,1920,1281,1,581,1027,1167,0.743,False,GOOD — enough resolution for a sharp result
7360px,rembg,eid_01,7360,4912,0,0,5422,4483,0.147,False,GOOD — enough resolution for a sharp result
1920px,rembg,ganesh_chaturthi_01,1920,1281,1,581,1027,1167,0.903,False,GOOD — enough resolution for a sharp result
2400px,mediapipe,eid_01,2400,1602,1,580,1115,1460,0.594,False,GOOD — enough resolution for a sharp result
7360px,rembg,diwali_01,7360,4912,0,0,5422,4483,0.166,False,GOOD — enough resolution for a sharp result
600px,rembg,diwali_01,640,427,1,205,334,389,2.307,True,MEDIUM — slightly soft; a larger photo is recommended
2400px,rembg,ganesh_chaturthi_01,2400,1602,1,580,1115,1459,0.722,False,GOOD — enough resolution for a sharp result
7360px,mediapipe,lohri_01,7360,4912,0,0,5455,4487,0.158,False,GOOD — enough resolution for a sharp result
